ID,1994,2002,2007,2017
Algonquin-95,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-96,NA,Trichophorum cespitosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-97,NA,Cladonia rangiferina,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-98,NA,Carex bigelowii,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-99,NA,Carex bigelowii,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-100,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-101,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-102,NA,Diapensia lapponica,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-103,NA,Vaccinium uliginosum,Rhododendron groenlandicum,Vaccinium uliginosum
Algonquin-104,NA,Vaccinium uliginosum,Polytrichum strictum,Vaccinium uliginosum
Algonquin-105,NA,Picea mariana,Picea mariana,Vaccinium uliginosum
Algonquin-106,NA,soil,lichen,Vaccinium uliginosum
Algonquin-107,NA,Picea mariana,Picea mariana,Trichophorum cespitosum
Algonquin-108,NA,soil,Empetrum nigrum,Trichophorum cespitosum
Algonquin-109,NA,Vaccinium uliginosum,Vaccinium uliginosum,Sphagnum pylaesii
Algonquin-110,NA,Vaccinium uliginosum,Vaccinium uliginosum,soil
Algonquin-111,NA,lichen,lichen,soil
Algonquin-112,NA,Trichophorum cespitosum,Vaccinium uliginosum,Salix uva-ursi
Algonquin-113,NA,Vaccinium uliginosum,Trichophorum cespitosum,Rhododendron groenlandicum
Algonquin-114,NA,Sphagnum sp.,Empetrum nigrum,Rhododendron groenlandicum
Algonquin-115,NA,Diapensia lapponica,Diapensia lapponica,Rhododendron groenlandicum
Algonquin-116,NA,Vaccinium uliginosum,Vaccinium uliginosum,lichen
Algonquin-117,NA,soil,lichen,lichen
Algonquin-118,NA,rock,Vaccinium uliginosum,Diapensia lapponica
Algonquin-119,NA,Vaccinium uliginosum,Vaccinium uliginosum,Carex bigelowii
Algonquin-120,NA,Vaccinium uliginosum,Vaccinium uliginosum,Carex bigelowii
Algonquin-121,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-122,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-123,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-124,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-125,NA,Diapensia lapponica,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-126,NA,Cladonia rangiferina,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-127,NA,Vaccinium uliginosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-128,NA,Vaccinium uliginosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-129,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-130,NA,Rhododendron groenlandicum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-131,NA,Sphagnum sp.,Sphagnum sp.,Vaccinium uliginosum
Algonquin-132,NA,Vaccinium uliginosum,Polytrichum strictum,Vaccinium uliginosum
Algonquin-133,NA,Picea mariana,Picea mariana,Vaccinium uliginosum
Algonquin-134,NA,Diapensia lapponica,Carex bigelowii,Vaccinium uliginosum
Algonquin-135,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium oxycoccos
Algonquin-136,NA,Vaccinium uliginosum,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-137,NA,Rhododendron groenlandicum,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-138,NA,lichen,Rhizocarpon geographicum,Trichophorum cespitosum
Algonquin-139,NA,Vaccinium uliginosum,Diapensia lapponica,Trichophorum cespitosum
Algonquin-140,NA,Vaccinium uliginosum,Vaccinium uliginosum,Sphagnum pylaesii
Algonquin-141,NA,Picea mariana,Picea mariana,Sphagnum pylaesii
Algonquin-142,NA,Trichophorum cespitosum,Vaccinium uliginosum,Salix uva-ursi
Algonquin-143,NA,Trichophorum cespitosum,Vaccinium uliginosum,Rhododendron groenlandicum
Algonquin-144,NA,Sphagnum sp.,Vaccinium uliginosum,Rhododendron groenlandicum
Algonquin-145,NA,Vaccinium uliginosum,Trichophorum cespitosum,Rhododendron groenlandicum
Algonquin-146,NA,soil,lichen,lichen
Algonquin-147,NA,rock,lichen,Diapensia lapponica
Algonquin-148,NA,Vaccinium uliginosum,Vaccinium uliginosum,Cetraria sp.
Algonquin-149,NA,Carex bigelowii,Vaccinium uliginosum,Cetraria sp.
Algonquin-150,NA,Vaccinium uliginosum,Trichophorum cespitosum,Cetraria sp.
Algonquin-151,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-152,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-153,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-154,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-155,NA,Vaccinium oxycoccos,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-156,NA,Diapensia lapponica,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-157,NA,Cladonia rangiferina,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-158,NA,Vaccinium uliginosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-159,NA,Trichophorum cespitosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-160,NA,Cetraria sp.,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-161,NA,Sphagnum sp.,Sphagnum sp.,Vaccinium uliginosum
Algonquin-162,NA,Diapensia lapponica,rock,Vaccinium uliginosum
Algonquin-163,NA,Vaccinium uliginosum,Picea mariana,Vaccinium uliginosum
Algonquin-164,NA,Picea mariana,Picea mariana,Vaccinium uliginosum
Algonquin-165,NA,Rhizocarpon geographicum,lichen,Vaccinium uliginosum
Algonquin-166,NA,Vaccinium uliginosum,Carex bigelowii,Vaccinium uliginosum
Algonquin-167,NA,Carex bigelowii,Carex bigelowii,Vaccinium uliginosum
Algonquin-168,NA,Empetrum nigrum,Rhododendron groenlandicum,Vaccinium oxycoccos
Algonquin-169,NA,lichen,Rhizocarpon geographicum,Trichophorum cespitosum
Algonquin-170,NA,Vaccinium uliginosum,Diapensia lapponica,Trichophorum cespitosum
Algonquin-171,NA,Carex bigelowii,Carex bigelowii,Trichophorum cespitosum
Algonquin-172,NA,soil,lichen,rock
Algonquin-173,NA,Vaccinium uliginosum,lichen,Rhododendron groenlandicum
Algonquin-174,NA,Vaccinium uliginosum,Empetrum nigrum,Rhododendron groenlandicum
Algonquin-175,NA,Thamnolia sp.,Vaccinium uliginosum,Diapensia lapponica
Algonquin-176,NA,Trichophorum cespitosum,Vaccinium uliginosum,Cladonia rangiferina
Algonquin-177,NA,Trichophorum cespitosum,Vaccinium uliginosum,Cetraria sp.
Algonquin-178,NA,Trichophorum cespitosum,Trichophorum cespitosum,Cetraria sp.
Algonquin-179,NA,Vaccinium uliginosum,Vaccinium uliginosum,Carex bigelowii
Algonquin-180,NA,Vaccinium uliginosum,Vaccinium uliginosum,Betula cordifolia
Algonquin-181,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-182,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-183,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-184,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-185,NA,Trichophorum cespitosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-186,NA,Diapensia lapponica,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-187,NA,Cladonia rangiferina,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-188,NA,Vaccinium uliginosum,Vaccinium oxycoccos,Vaccinium uliginosum
Algonquin-189,NA,Vaccinium uliginosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-190,NA,Vaccinium uliginosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-191,NA,Vaccinium uliginosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-192,NA,Polytrichum strictum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-193,NA,Trichophorum cespitosum,rock,Vaccinium uliginosum
Algonquin-194,NA,Vaccinium uliginosum,Rhododendron groenlandicum,Vaccinium uliginosum
Algonquin-195,NA,Vaccinium uliginosum,Picea mariana,Vaccinium uliginosum
Algonquin-196,NA,Cetraria sp.,Empetrum nigrum,Vaccinium uliginosum
Algonquin-197,NA,Diapensia lapponica,Diapensia lapponica,Vaccinium uliginosum
Algonquin-198,NA,Vaccinium uliginosum,Carex bigelowii,Vaccinium uliginosum
Algonquin-199,NA,Vaccinium uliginosum,Carex bigelowii,Vaccinium uliginosum
Algonquin-200,NA,Vaccinium uliginosum,Carex bigelowii,Vaccinium uliginosum
Algonquin-201,NA,Vaccinium uliginosum,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-202,NA,Vaccinium uliginosum,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-203,NA,Vaccinium uliginosum,Rhododendron groenlandicum,Trichophorum cespitosum
Algonquin-204,NA,Rhododendron groenlandicum,Rhododendron groenlandicum,Trichophorum cespitosum
Algonquin-205,NA,Rhizocarpon geographicum,Rhizocarpon geographicum,Trichophorum cespitosum
Algonquin-206,NA,lichen,lichen,Trichophorum cespitosum
Algonquin-207,NA,Picea mariana,Picea mariana,Sphagnum pylaesii
Algonquin-208,NA,soil,Polytrichum strictum,rock
Algonquin-209,NA,Trichophorum cespitosum,Trichophorum cespitosum,Empetrum nigrum
Algonquin-210,NA,Diapensia lapponica,Vaccinium uliginosum,Diapensia lapponica
Algonquin-211,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-212,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-213,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-214,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-215,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-216,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-217,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-218,NA,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-219,NA,Sphagnum sp.,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-220,NA,Polytrichum strictum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-221,NA,Polytrichum strictum,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-222,NA,Diapensia lapponica,Vaccinium uliginosum,Vaccinium uliginosum
Algonquin-223,NA,Vaccinium uliginosum,Vaccinium oxycoccos,Vaccinium uliginosum
Algonquin-224,NA,Vaccinium uliginosum,Trichophorum cespitosum,Vaccinium uliginosum
Algonquin-225,NA,rock,rock,Vaccinium uliginosum
Algonquin-226,NA,Polytrichum strictum,Polytrichum strictum,Vaccinium uliginosum
Algonquin-227,NA,Picea mariana,Picea mariana,Vaccinium uliginosum
Algonquin-228,NA,Vaccinium uliginosum,Empetrum nigrum,Vaccinium uliginosum
Algonquin-229,NA,Vaccinium uliginosum,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-230,NA,Thamnolia sp.,Vaccinium uliginosum,Trichophorum cespitosum
Algonquin-231,NA,Rhizocarpon geographicum,Rhizocarpon geographicum,Trichophorum cespitosum
Algonquin-232,NA,lichen,Rhizocarpon geographicum,Trichophorum cespitosum
Algonquin-233,NA,Trichophorum cespitosum,Diapensia lapponica,Trichophorum cespitosum
Algonquin-234,NA,Carex bigelowii,Vaccinium uliginosum,Sphagnum pylaesii
