id,mountain,site,state,measure,Year,site_year,name,period,SWE,Tmax,Tmin,Tmean,TotalN,2D,3D,Arctic,Non-Arctic,Transitional,Non-Plant,Shrub
iroquois-T3-2017,iroquois,T3,NY,point,2017,iroquois-2017,Iroquois,2004-2024,310.22,7.290684932,-5.951561644,0.669561644,4.339,0.908212562,0.09178744,0.149758455,0.171666666,0.779388085,0.06763285,0.085346216
MtLaf-1-1983,MtLaf,T1,NH,line,1983,MtLaf-1983,Lafayette,1983-2003,709.4,5.27339726,-3.527506849,0.872945205,5.254,0.34,0.660000001,0.050000001,0.223333333,0.608333334,0.118333333,0.450000001
MtLaf-2-1983,MtLaf,T2,NH,line,1983,MtLaf-1983,Lafayette,1983-2003,709.4,5.27339726,-3.527506849,0.872945205,5.254,0.323333332,0.676666666,0.036666666,0.273333333,0.621666666,0.068333333,0.464999999
MtLaf-3-1983,MtLaf,T3,NH,line,1983,MtLaf-1983,Lafayette,1983-2003,709.4,5.27339726,-3.527506849,0.872945205,5.254,0.258333332,0.741666668,0.01,0.261666667,0.655000001,0.073333332,0.550000001
MtLaf-1-1989,MtLaf,T1,NH,line,1989,MtLaf-1989,Lafayette,1983-2003,426.26,4.084136986,-5.006794521,-0.461328767,6.789,0.586666667,0.413333333,0.085,0.176666666,0.575000001,0.163333333,0.413333333
MtLaf-2-1989,MtLaf,T2,NH,line,1989,MtLaf-1989,Lafayette,1983-2003,426.26,4.084136986,-5.006794521,-0.461328767,6.789,0.59,0.409999999,0.103333333,0.165,0.528333333,0.203333333,0.409999999
MtLaf-3-1989,MtLaf,T3,NH,line,1989,MtLaf-1989,Lafayette,1983-2003,426.26,4.084136986,-5.006794521,-0.461328767,6.789,0.575000001,0.424999999,0.095,0.183333333,0.426666667,0.295,0.426666666
MtLaf-1-2000,MtLaf,T1,NH,line,2000,MtLaf-2000,Lafayette,1983-2003,633.26,4.555890411,-4.48290411,0.036493151,5.078,0.466666666,0.533333334,0.101666666,0.293333333,0.528333335,0.076666666,0.538333334
MtLaf-2-2000,MtLaf,T2,NH,line,2000,MtLaf-2000,Lafayette,1983-2003,633.26,4.555890411,-4.48290411,0.036493151,5.078,0.568333333,0.431666666,0.099999999,0.386666665,0.460000001,0.053333334,0.424999999
MtLaf-3-2000,MtLaf,T3,NH,line,2000,MtLaf-2000,Lafayette,1983-2003,633.26,4.555890411,-4.48290411,0.036493151,5.078,0.271666666,0.728333333,0.088333334,0.108333333,0.749999999,0.053333333,0.443333333
MtLaf-1-2009,MtLaf,T1,NH,line,2009,MtLaf-2009,Lafayette,2004-2024,438.08,4.753835616,-4.304410959,0.224712329,3.17,0.483333333,0.516666666,0.146666667,0.083333334,0.608333333,0.073333333,0.42
